Tiempo;Régimen;Presión colector;Mariposa;Temp. refrigerante;Temp. aire;Lambda;Lambda objetivo;Avance;Presión aceite;Tensión batería
s;rpm;kPa;%;°C;°C;λ;λ;°;kPa;V
0,000;910;33,2;0,0;84,95;35,05;0,996;1,000;9,8;148,1;13,978
0,050;900;33,4;0,0;85,05;35,05;1,004;1,000;9,9;151,1;14,018
0,100;908;32,5;0,0;85,05;35,15;1,000;1,000;10,2;150,1;14,031
0,150;910;32,9;0,0;84,95;35,05;1,008;1,000;10,3;152,3;14,005
0,200;900;33,4;0,0;85,05;35,05;1,000;1,000;9,7;152,3;14,037
0,250;890;33,0;0,0;85,05;35,05;1,003;1,000;10,0;149,2;14,030
0,300;897;33,1;0,0;85,15;35,15;1,004;1,000;10,1;150,2;14,005
0,350;910;33,3;0,0;85,15;35,15;0,998;1,000;10,1;150,2;13,966
0,400;890;33,6;0,0;85,05;35,15;0,992;1,000;10,0;150,5;13,998
0,450;904;32,7;0,0;85,05;35,25;1,003;1,000;10,0;148,5;13,956
0,500;890;33,0;0,0;85,05;35,15;1,007;1,000;9,9;149,5;13,991
0,550;886;32,5;0,0;85,15;35,25;1,001;1,000;9,8;149,0;14,026
0,600;893;33,0;0,0;85,15;35,35;1,005;1,000;10,2;150,1;14,039
0,650;889;32,5;0,0;85,05;35,25;1,003;1,000;10,1;150,3;13,974
0,700;888;33,4;0,0;85,25;35,45;0,995;1,000;9,8;148,8;14,015
0,750;897;33,1;0,0;85,15;35,35;1,009;1,000;10,0;149,0;13,990
0,800;888;32,8;0,0;85,25;35,35;1,003;1,000;10,2;150,7;14,018
0,850;895;33,2;0,0;85,15;35,35;1,001;1,000;9,7;152,7;14,030
0,900;904;33,4;0,0;85,15;35,45;1,002;1,000;10,3;150,4;14,035
0,950;887;33,3;0,0;85,25;35,55;1,007;1,000;10,2;150,9;13,979
1,000;889;32,9;0,0;85,25;35,55;0,991;1,000;9,7;151,4;13,960
1,050;913;33,3;0,0;85,25;35,45;0,998;1,000;9,9;150,8;13,959
1,100;902;33,3;0,0;85,25;35,55;0,996;1,000;10,0;147,4;13,966
1,150;912;33,1;0,0;85,35;35,65;0,993;1,000;10,0;147,4;13,990
1,200;893;33,2;0,0;85,25;35,65;1,004;1,000;9,8;148,5;13,976
1,250;895;33,5;0,0;85,15;35,65;0,994;1,000;10,1;147,8;14,048
1,300;892;32,7;0,0;85,15;35,65;0,991;1,000;9,9;147,6;13,953
1,350;910;33,0;0,0;85,25;35,55;1,001;1,000;9,8;150,6;14,024
1,400;893;33,1;0,0;85,25;35,75;0,992;1,000;10,2;148,6;14,037
1,450;914;32,5;0,0;85,35;35,75;1,009;1,000;10,3;147,1;14,008
1,500;911;32,8;0,0;85,35;35,65;0,995;1,000;9,7;152,5;13,996
1,550;909;32,6;0,0;85,35;35,75;1,000;1,000;10,0;149,7;13,965
1,600;897;32,8;0,0;85,35;35,75;0,994;1,000;10,2;151,0;13,988
1,650;905;33,2;0,0;85,25;35,75;0,992;1,000;9,9;151,4;14,036
1,700;913;32,6;0,0;85,45;35,75;1,003;1,000;9,8;147,9;13,992
1,750;914;32,7;0,0;85,25;35,75;0,991;1,000;10,0;148,3;13,961
1,800;897;33,4;0,0;85,35;35,75;0,997;1,000;10,2;150,2;13,973
1,850;891;33,3;0,0;85,45;35,85;0,999;1,000;10,1;149,7;14,027
1,900;891;33,3;0,0;85,35;35,95;0,992;1,000;9,9;147,8;13,954
1,950;911;32,9;0,0;85,35;35,85;1,005;1,000;10,0;150,6;13,980
2,000;913;33,1;0,0;85,35;35,85;1,006;1,000;10,1;151,8;14,042
2,050;937;33,5;0,5;85,35;36,05;1,006;0,999;10,1;150,8;14,016
2,100;956;35,4;1,0;85,45;36,05;0,990;0,999;10,1;150,7;13,954
2,150;963;36,3;1,5;85,45;36,05;0,991;0,998;10,2;155,6;14,026
2,200;1007;36,3;2,0;85,45;35,95;0,991;0,997;10,6;152,4;14,022
2,250;1037;37,6;2,5;85,45;36,15;1,004;0,996;10,4;156,9;13,991
2,300;1054;38,7;3,0;85,45;36,15;1,005;0,996;10,2;160,4;13,991
2,350;1067;39,5;3,5;85,35;36,05;0,991;0,995;10,8;161,6;14,004
2,400;1101;40,1;4,0;85,45;36,15;0,986;0,994;10,7;157,4;13,957
2,450;1130;41,6;4,5;85,55;36,15;0,996;0,994;10,7;158,8;13,945
2,500;1167;42,9;5,0;85,45;36,15;0,994;0,993;10,7;162,6;14,020
2,550;1190;43,0;5,5;85,55;36,05;0,998;0,992;10,9;164,0;14,032
2,600;1192;44,8;6,0;85,55;36,15;0,989;0,992;11,2;165,6;13,996
2,650;1225;45,5;6,5;85,55;36,35;0,990;0,991;10,7;168,4;13,980
2,700;1263;46,5;7,0;85,45;36,25;0,998;0,990;10,9;167,4;13,952
2,750;1276;47,0;7,5;85,55;36,25;0,995;0,990;11,1;168,7;13,978
2,800;1311;47,9;8,0;85,55;36,25;0,987;0,989;11,2;169,9;14,036
2,850;1319;48,4;8,5;85,55;36,25;0,978;0,988;11,0;171,0;13,940
2,900;1366;49,3;9,0;85,65;36,25;0,986;0,987;11,1;172,1;14,020
2,950;1387;51,2;9,5;85,55;36,45;0,995;0,987;11,6;171,3;13,974
3,000;1423;51,6;10,0;85,65;36,35;0,993;0,986;11,5;176,7;13,965
3,050;1427;52,2;10,5;85,65;36,45;0,984;0,985;11,4;178,4;13,936
3,100;1474;53,1;11,0;85,65;36,35;0,979;0,985;11,9;174,7;13,943
3,150;1501;54,2;11,5;85,55;36,55;0,976;0,984;11,5;180,9;13,988
3,200;1501;55,0;12,0;85,65;36,55;0,992;0,983;11,8;181,7;14,026
