Time,RPM,MAP,TPS,CLT,Lambda
0.000,6038,54.490,74.200,78.600,0.792
0.050,1639,178.870,89.200,73.000,0.877
0.100,1044,50.610,23.300,91.100,0.918
0.150,6665,172.970,54.500,77.700,0.927
0.200,853,196.940,16.000,84.800,0.833
0.250,2563,240.590,33.700,73.200,0.779
0.300,3617,162.820,80.700,95.500,0.911
0.350,3900,47.340,29.300,92.000,1.016
0.400,3762,157.020,70.500,71.600,0.818
0.450,3170,246.750,85.500,100.300,0.864
0.500,4514,169.850,36.500,83.000,0.813
0.550,2987,184.400,68.400,72.500,0.940
0.600,5175,190.410,16.300,83.300,1.047
0.650,6042,181.400,22.000,81.300,0.980
0.700,1258,80.390,3.200,81.000,0.830
0.750,2528,230.890,56.700,95.100,0.814
0.800,4889,117.040,91.500,86.100,0.829
0.850,2820,193.900,53.900,96.100,0.879
0.900,5580,117.870,21.900,104.900,0.903
0.950,1544,196.270,86.100,75.300,0.798
1.000,6374,122.880,6.400,83.400,1.049
1.050,5134,85.310,55.300,103.000,0.954
1.100,1738,179.980,53.700,79.300,0.942
1.150,1713,94.570,15.800,70.100,0.967
1.200,6695,87.950,50.100,76.300,1.024
1.250,5922,95.660,63.900,91.300,0.796
1.300,2123,148.660,77.900,88.600,0.750
1.350,3455,137.490,11.200,82.700,1.046
1.400,3319,82.680,24.100,89.900,0.774
1.450,6795,136.920,6.900,96.600,0.980
1.500,1851,175.150,94.700,75.800,0.908
1.550,5769,123.090,21.200,88.900,0.969
1.600,2447,186.850,39.900,93.500,0.862
1.650,5039,129.330,24.800,72.200,0.756
1.700,5337,80.630,22.000,72.500,0.939
1.750,2675,44.830,3.100,81.600,0.904
1.800,3081,177.180,21.400,74.600,1.031
1.850,5477,156.770,24.300,86.600,0.872
1.900,1572,51.320,43.100,84.800,0.890
1.950,6772,41.920,65.300,92.600,0.768
2.000,6765,104.650,86.200,78.700,0.807
2.050,4475,60.840,18.300,86.200,1.012
2.100,1417,127.490,86.100,89.300,0.765
2.150,5228,213.930,96.900,102.400,1.005
2.200,2162,119.410,48.100,100.300,1.021
2.250,2148,113.370,98.500,79.300,0.985
2.300,4527,92.750,69.700,95.600,0.985
2.350,6222,188.050,15.500,80.400,1.041
2.400,5544,191.860,6.100,81.000,0.765
2.450,4705,140.630,85.300,75.500,1.038
