Time;RPM;MAP;TPS;CLT;Lambda
0,000;1456;217,300;6,900;72,400;1,009
0,050;4107;56,380;89,000;78,600;0,928
0,100;5873;48,040;65,700;89,800;0,845
0,150;2936;74,940;71,600;78,400;0,869
0,200;6302;172,010;45,700;102,500;1,031
0,250;876;130,820;99,800;104,900;0,772
0,300;2546;141,290;13,200;82,200;0,771
0,350;2801;111,300;15,800;99,200;0,961
0,400;5810;246,450;80,700;88,500;0,950
0,450;5343;95,860;66,300;102,900;0,790
0,500;1745;225,740;74,200;75,400;0,835
0,550;2525;187,870;20,400;92,200;0,829
0,600;4802;85,250;90,800;71,800;0,940
0,650;3066;39,700;33,400;74,600;1,044
0,700;2123;193,070;55,200;85,000;0,753
0,750;1416;237,910;69,100;75,200;0,761
0,800;3824;158,150;14,800;74,500;0,842
0,850;1126;227,760;21,000;78,700;0,781
0,900;5386;224,510;40,600;91,700;0,796
0,950;2739;220,210;97,600;98,400;1,014
1,000;1003;69,460;92,400;97,400;0,874
1,050;6287;220,090;81,100;79,300;0,986
1,100;1685;114,160;3,900;86,500;0,810
1,150;4570;106,920;82,100;100,500;0,817
1,200;6206;72,490;32,800;100,300;1,040
1,250;3086;107,250;50,900;93,800;1,003
1,300;3512;236,630;11,500;104,000;0,804
1,350;2974;38,420;59,700;82,100;0,986
1,400;4374;163,370;51,100;83,500;0,923
1,450;2886;39,770;43,600;88,200;0,992
1,500;6426;188,270;74,200;93,500;0,859
1,550;1373;238,750;92,100;91,800;0,949
1,600;1820;188,350;30,000;80,800;0,873
1,650;4096;183,390;55,400;76,700;0,949
1,700;3905;179,010;90,300;91,500;0,840
1,750;5288;213,420;30,400;77,400;0,986
1,800;5769;174,040;46,500;85,500;0,814
1,850;4676;204,620;96,000;95,800;0,948
1,900;3124;143,400;63,300;81,700;0,996
1,950;6953;81,670;31,000;98,200;0,794
2,000;1178;83,870;47,500;99,700;0,772
2,050;4195;224,950;57,600;95,100;0,865
2,100;4073;83,680;65,600;70,200;0,975
2,150;1673;201,250;21,900;98,100;0,959
2,200;4605;41,050;24,900;99,700;0,887
2,250;4606;176,870;98,800;90,800;1,035
2,300;4425;164,780;71,900;87,700;0,999
2,350;5288;128,100;15,900;100,200;0,885
2,400;6958;84,390;63,800;96,800;0,906
2,450;5934;82,630;44,000;95,000;0,820
