Time	RPM	MAP	TPS	CLT	Lambda
0.000	3551	100.340	54.000	74.800	0.819
0.050	6484	63.620	21.400	84.500	0.849
0.100	4616	121.470	20.700	84.700	1.021
0.150	5584	238.130	2.000	100.800	0.923
0.200	4707	31.300	35.200	96.400	1.006
0.250	4232	148.410	73.500	98.000	1.019
0.300	4799	78.270	43.600	71.000	0.851
0.350	6363	205.590	72.400	99.400	1.026
0.400	5897	147.510	90.700	90.700	0.949
0.450	1487	171.400	13.600	86.200	0.765
0.500	3905	102.020	45.500	81.800	1.014
0.550	3079	195.440	83.200	78.800	0.775
0.600	958	194.790	5.200	103.300	0.817
0.650	1362	201.870	65.200	96.400	1.035
0.700	2433	214.630	62.100	78.300	0.892
0.750	1737	154.070	21.800	94.500	0.980
0.800	2174	163.300	96.400	95.100	0.983
0.850	2141	242.240	10.800	70.900	0.844
0.900	6348	229.770	37.500	103.000	0.809
0.950	5650	181.940	62.700	73.600	0.982
1.000	6405	162.090	12.100	104.400	0.985
1.050	3644	147.200	66.200	72.400	0.944
1.100	903	216.910	82.200	73.700	1.038
1.150	6006	226.150	46.000	75.400	0.803
1.200	5074	242.400	27.000	98.300	0.911
1.250	4760	132.270	82.600	90.700	0.847
1.300	2811	212.760	8.700	100.900	0.823
1.350	4606	155.370	66.800	81.800	0.898
1.400	3462	70.000	21.200	97.900	0.852
1.450	5683	184.260	27.600	70.400	1.034
1.500	1501	83.100	40.600	89.400	0.822
1.550	4700	172.100	49.100	97.800	0.778
1.600	2615	118.970	24.300	93.200	0.861
1.650	5334	146.800	42.600	96.100	0.849
1.700	6557	129.820	30.700	78.100	0.966
1.750	3384	56.300	53.600	96.700	0.806
1.800	2572	192.490	27.600	90.600	0.978
1.850	5688	92.260	10.100	76.800	0.818
1.900	2269	96.500	70.800	74.400	0.764
1.950	1246	151.740	69.700	74.400	1.011
2.000	4821	52.570	1.200	80.000	0.894
2.050	3591	70.560	5.100	102.900	0.893
2.100	1335	118.160	7.400	92.000	0.766
2.150	2022	208.450	94.900	73.000	0.824
2.200	5371	198.180	60.600	97.700	0.818
2.250	5080	113.680	90.900	80.400	0.927
2.300	4312	97.180	62.100	91.300	0.972
2.350	2502	167.610	26.500	72.800	0.822
2.400	5321	46.510	0.300	85.800	0.928
2.450	3185	37.180	28.800	79.900	1.008
