Time,RPM,MAP,TPS,CLT,Lambda
s,rpm,kPa,%,C,ratio
0.000,1383,181.220,92.400,97.600,0.938
0.050,6216,206.860,19.800,74.000,0.817
0.100,2020,229.850,82.700,72.500,0.800
0.150,3319,160.910,82.400,102.200,0.882
0.200,4639,181.510,70.000,103.000,0.900
0.250,4845,126.310,59.800,101.100,0.970
0.300,5745,85.080,9.100,103.700,1.001
0.350,5512,159.170,2.100,96.800,0.996
0.400,5520,38.850,75.600,86.500,0.945
0.450,3078,69.930,58.500,92.200,0.898
0.500,1547,133.400,40.800,81.200,0.781
0.550,2117,102.560,69.400,80.100,1.034
0.600,5306,38.070,8.800,78.800,0.785
0.650,4111,220.280,82.500,70.000,1.011
0.700,4584,120.910,18.800,82.700,0.977
0.750,5923,127.250,5.200,79.300,0.789
0.800,3159,126.390,69.800,74.200,1.042
0.850,5787,205.850,71.000,80.900,0.754
0.900,4142,50.510,99.200,102.000,0.888
0.950,1762,172.500,15.400,102.600,0.838
1.000,6578,90.150,83.500,104.300,0.823
1.050,5315,61.820,19.100,91.000,0.974
1.100,1918,220.090,27.600,97.700,0.874
1.150,4959,88.780,0.300,95.400,1.001
1.200,5550,249.760,49.000,75.200,0.912
1.250,3627,103.140,76.300,83.200,1.030
1.300,2345,245.770,23.900,83.400,1.007
1.350,4165,39.600,74.500,94.700,0.993
1.400,3962,247.450,79.200,92.800,0.796
1.450,1103,57.770,96.500,81.600,0.780
1.500,4406,51.940,91.000,70.500,0.793
1.550,6163,243.390,7.500,97.400,0.830
1.600,5905,182.400,65.000,99.800,1.006
1.650,5171,113.600,31.700,95.200,0.978
1.700,5232,37.900,6.800,92.100,1.026
1.750,2663,194.290,43.400,73.400,0.940
1.800,1623,127.610,69.400,101.600,0.764
1.850,1259,94.540,37.500,75.100,0.909
1.900,5436,180.000,18.000,76.100,0.933
1.950,3933,166.340,24.100,101.900,0.793
2.000,4577,170.340,46.000,93.300,1.020
2.050,4611,228.270,67.800,75.500,0.883
2.100,3630,247.280,29.900,103.700,0.957
2.150,4542,215.970,19.900,83.500,0.895
2.200,2743,113.900,35.900,80.400,0.960
2.250,979,245.150,65.800,79.600,0.920
2.300,6418,201.230,97.400,101.900,0.974
2.350,3144,200.660,23.000,98.100,0.816
2.400,2357,166.600,67.800,95.200,0.948
2.450,1920,168.210,90.300,92.600,0.843
