Time [s],RPM [rpm],MAP [kPa],TPS (%),CLT (°C),Lambda [ratio]
0.000,4411,37.340,36.500,74.600,1.023
0.050,3476,194.450,17.600,74.600,0.912
0.100,3797,146.790,91.300,99.100,0.827
0.150,4747,242.820,29.500,100.500,0.991
0.200,4636,241.840,14.100,103.800,1.008
0.250,6732,178.370,39.700,99.600,0.917
0.300,1539,203.950,1.400,88.800,0.886
0.350,6311,194.780,26.200,83.300,0.942
0.400,3843,53.840,23.400,70.900,1.015
0.450,5399,102.160,61.000,92.700,0.941
0.500,4603,230.070,30.200,84.300,0.792
0.550,1104,96.960,49.300,73.400,1.016
0.600,1911,115.500,37.100,103.200,0.959
0.650,5225,122.210,74.200,75.400,0.874
0.700,1611,213.410,61.600,102.900,0.834
0.750,6454,111.520,44.300,103.300,1.007
0.800,1613,245.800,36.700,101.600,0.943
0.850,1296,117.590,19.000,74.300,1.004
0.900,4525,50.170,21.200,92.400,1.041
0.950,1214,203.090,24.400,74.400,0.919
1.000,1362,212.560,55.400,90.500,0.994
1.050,2708,102.280,14.800,101.500,0.751
1.100,1985,247.260,54.000,97.900,0.783
1.150,1011,59.000,35.800,97.600,0.927
1.200,929,68.330,5.200,96.000,0.908
1.250,6908,43.980,44.800,82.700,0.928
1.300,4502,140.840,94.500,71.500,0.985
1.350,6197,144.720,45.800,103.700,0.768
1.400,4723,216.410,42.600,73.800,0.964
1.450,4433,46.170,8.100,91.300,0.770
1.500,3052,167.350,58.500,94.900,0.864
1.550,5693,146.720,45.400,91.200,0.780
1.600,6548,55.170,65.500,100.700,0.915
1.650,2561,124.620,88.800,84.500,0.998
1.700,4066,121.520,9.500,84.900,0.950
1.750,3866,239.790,68.700,86.600,0.777
1.800,1499,50.510,9.700,95.900,0.994
1.850,5357,43.200,95.700,89.700,0.951
1.900,4165,107.790,66.500,96.300,1.010
1.950,6706,41.320,28.800,80.900,0.781
2.000,4956,76.800,65.700,77.800,0.782
2.050,5356,110.860,76.300,90.100,0.992
2.100,5395,244.400,81.800,91.500,0.943
2.150,1015,163.980,65.800,94.300,0.759
2.200,3038,184.590,30.900,81.900,0.752
2.250,1973,154.590,40.100,75.000,0.940
2.300,1051,50.190,53.000,83.200,0.886
2.350,2089,111.410,72.200,97.200,0.920
2.400,1495,224.340,15.600,96.400,0.765
2.450,1468,89.860,66.200,87.000,0.883
