RPM,MAP,TPS,CLT,Lambda,AFR
3037,77.430,51.200,82.100,0.783,14.710
5658,137.060,66.700,71.600,0.869,14.400
862,74.970,94.500,96.900,0.979,13.160
1782,31.700,74.700,76.100,0.864,14.810
4898,152.920,66.800,82.400,0.869,14.970
4373,34.120,92.100,100.200,0.923,14.290
6612,170.830,29.000,84.200,1.040,12.690
5863,131.220,69.000,82.700,0.881,12.420
4369,159.550,52.400,83.900,0.843,13.360
3528,201.410,7.600,92.200,0.909,12.780
3662,107.240,95.800,92.600,0.794,12.410
2896,73.400,60.200,96.600,0.947,12.710
5944,138.710,75.400,96.600,0.885,15.700
5424,171.460,98.700,81.300,1.041,13.260
4402,45.020,44.200,80.600,0.832,12.220
4956,46.320,46.200,71.300,0.861,13.150
6081,220.140,85.500,91.500,0.902,13.850
5340,239.930,73.900,71.400,1.023,14.290
2342,100.740,47.600,75.300,0.769,12.410
3613,246.120,8.400,92.600,0.762,14.830
4399,145.300,61.000,82.700,1.025,13.550
3571,179.360,5.200,92.100,0.850,13.320
5370,179.240,28.400,95.300,0.947,15.630
2031,103.340,58.300,74.900,0.855,15.870
6521,175.670,12.900,94.800,0.775,14.240
6071,204.170,81.300,93.500,0.999,14.960
6414,230.740,9.300,93.500,0.903,12.070
3330,69.660,21.400,103.200,0.896,12.910
1926,64.090,29.600,97.600,0.902,14.160
6850,224.410,3.800,81.800,0.980,12.520
3886,63.940,18.100,94.200,0.937,15.610
6707,126.290,41.100,93.700,0.821,13.780
3134,195.530,78.400,78.200,0.822,15.860
4642,228.870,19.400,93.700,0.921,13.760
3108,201.190,50.300,84.700,0.799,12.800
5753,60.450,25.000,92.400,1.012,14.220
1640,186.510,51.600,74.400,0.775,12.640
4480,229.170,14.700,85.300,1.034,12.890
4495,224.620,93.000,84.500,0.869,13.500
3963,248.800,37.500,71.000,1.029,15.360
6124,103.760,14.600,71.300,1.025,13.890
1936,196.950,46.900,91.500,1.022,12.080
2566,213.690,54.900,95.500,0.908,12.440
3160,82.280,12.200,78.300,0.942,14.490
1314,54.390,90.500,90.900,0.755,14.060
2781,188.080,29.100,70.100,0.856,14.280
2334,176.160,8.600,104.100,0.770,14.100
4956,203.010,50.800,70.700,1.012,12.170
3969,245.830,25.400,70.600,0.987,13.380
6804,174.560,10.400,90.400,0.977,12.530
