Timestamp,RPM,MAP,TPS,CLT,Lambda
1785000000.000,3686,150.120,81.400,76.100,0.984
1785000000.050,4606,245.780,47.900,76.400,0.790
1785000000.100,6665,200.760,45.800,80.300,0.763
1785000000.150,2434,224.870,31.600,80.900,0.869
1785000000.200,5248,134.150,3.700,92.600,0.836
1785000000.250,1191,220.480,33.200,74.400,0.860
1785000000.300,4076,193.530,89.500,83.500,1.042
1785000000.350,4864,182.260,36.700,97.900,0.830
1785000000.400,1476,189.960,7.900,91.100,0.997
1785000000.450,5268,94.630,10.300,81.500,0.839
1785000000.500,4452,162.580,42.600,94.100,0.855
1785000000.550,1146,189.900,91.200,91.500,0.880
1785000000.600,6038,245.610,94.800,72.600,0.941
1785000000.650,3776,142.880,75.000,75.600,0.759
1785000000.700,5777,179.180,43.800,74.400,0.821
1785000000.750,6085,110.590,38.300,89.900,0.932
1785000000.800,6362,128.980,37.100,85.500,0.773
1785000000.850,1927,146.480,39.800,92.700,0.825
1785000000.900,1729,35.700,18.600,88.100,1.024
1785000000.950,1764,87.590,26.000,85.600,1.049
1785000001.000,3139,182.680,99.900,77.000,0.791
1785000001.050,1406,129.450,89.900,85.600,0.776
1785000001.100,6386,242.860,98.700,93.400,0.963
1785000001.150,5305,149.280,89.100,99.800,0.964
1785000001.200,6536,170.290,79.400,87.800,0.786
1785000001.250,2446,204.250,23.700,87.300,0.858
1785000001.300,5488,111.160,80.400,89.300,0.934
1785000001.350,1506,44.460,39.800,95.100,0.894
1785000001.400,4165,199.220,82.300,72.600,1.042
1785000001.450,6062,46.320,46.600,88.100,0.789
1785000001.500,5316,170.750,18.200,103.800,0.880
1785000001.550,1253,212.910,51.800,80.600,0.799
1785000001.600,6610,79.600,94.700,88.200,0.835
1785000001.650,1446,85.130,63.500,89.300,0.788
1785000001.700,3280,165.170,9.300,92.400,0.928
1785000001.750,5556,63.920,65.900,95.200,0.932
1785000001.800,5417,39.060,86.400,72.800,1.035
1785000001.850,5524,88.220,21.100,90.000,0.935
1785000001.900,1048,139.570,62.700,80.100,1.037
1785000001.950,4756,83.870,80.700,84.200,0.886
1785000002.000,6441,43.180,44.000,86.900,0.811
1785000002.050,5769,61.610,86.100,81.200,1.046
1785000002.100,3629,244.580,13.100,83.000,0.918
1785000002.150,3414,83.180,12.300,85.700,0.792
1785000002.200,1214,93.850,38.400,91.500,0.824
1785000002.250,2108,208.970,93.400,95.200,0.807
1785000002.300,2105,139.620,51.500,87.500,0.843
1785000002.350,989,49.810,39.300,86.000,0.822
1785000002.400,5578,107.640,5.100,87.300,1.015
1785000002.450,6159,177.950,28.600,70.300,0.782
