Timestamp_ms,RPM,MAP,TPS,CLT,Lambda
1785000000000,1897,224.140,72.800,96.700,0.860
1785000000050,4081,41.250,56.200,82.700,0.837
1785000000100,3964,140.940,76.400,79.800,1.047
1785000000150,6373,164.430,12.900,73.400,0.862
1785000000200,3577,152.720,36.600,75.000,0.931
1785000000250,4088,140.020,4.500,74.800,0.850
1785000000300,4680,144.250,14.900,101.300,0.792
1785000000350,5822,100.080,39.300,91.600,1.003
1785000000400,5663,104.000,82.800,88.600,0.963
1785000000450,3255,134.480,1.700,81.600,0.783
1785000000500,4212,158.410,79.700,95.400,0.956
1785000000550,1018,161.320,26.600,92.900,1.042
1785000000600,5538,157.080,72.100,90.400,0.801
1785000000650,5952,188.660,77.500,83.300,0.996
1785000000700,2784,36.950,94.800,73.800,0.756
1785000000750,3369,122.130,41.300,77.100,0.901
1785000000800,5809,232.510,87.300,95.800,0.769
1785000000850,1931,144.110,56.100,104.900,0.894
1785000000900,3886,99.030,17.300,101.900,0.853
1785000000950,3702,178.690,86.800,93.800,0.991
1785000001000,2965,164.220,19.200,78.600,0.917
1785000001050,2642,237.130,98.200,97.000,0.961
1785000001100,6454,185.100,31.700,82.200,1.030
1785000001150,6711,90.160,12.200,93.700,0.864
1785000001200,4032,210.040,95.500,98.200,0.837
1785000001250,3156,240.170,7.900,102.300,0.947
1785000001300,6922,135.400,20.200,88.900,1.030
1785000001350,6503,89.760,10.900,95.900,0.822
1785000001400,1215,177.360,53.100,92.300,0.766
1785000001450,4185,102.660,47.200,93.800,0.791
1785000001500,5308,245.140,15.800,92.900,1.014
1785000001550,4696,135.040,19.900,103.700,0.846
1785000001600,6091,43.020,76.900,92.800,0.820
1785000001650,6851,189.090,93.700,102.000,0.803
1785000001700,2240,235.460,3.600,99.300,0.986
1785000001750,2326,236.050,96.200,102.400,1.013
1785000001800,875,95.650,60.300,102.500,0.851
1785000001850,4522,247.600,54.300,87.300,1.032
1785000001900,4930,132.960,19.300,73.900,0.799
1785000001950,4559,172.620,71.900,70.500,0.851
1785000002000,3216,154.910,75.700,76.100,1.007
1785000002050,4121,211.940,51.500,73.000,0.951
1785000002100,2313,245.970,47.700,102.800,0.752
1785000002150,3942,81.810,75.400,103.400,0.841
1785000002200,6721,156.030,26.200,82.600,0.821
1785000002250,6270,56.010,30.700,84.200,0.901
1785000002300,6563,199.370,69.000,92.400,1.032
1785000002350,3810,165.220,21.900,74.700,0.796
1785000002400,6925,247.540,37.400,94.600,1.024
1785000002450,5203,206.440,82.600,96.700,0.954
