DateTime,RPM,MAP,TPS,CLT,Lambda
2026-07-29T18:30:00Z,5680,222.090,8.200,85.600,0.961
2026-07-29T18:30:00.050000Z,1439,231.790,11.200,99.000,1.021
2026-07-29T18:30:00.100000Z,2456,155.990,15.000,81.500,0.906
2026-07-29T18:30:00.150000Z,1752,179.660,71.700,87.100,1.020
2026-07-29T18:30:00.200000Z,4449,207.910,45.300,88.000,0.887
2026-07-29T18:30:00.250000Z,1272,152.940,67.300,80.800,0.757
2026-07-29T18:30:00.300000Z,2884,209.620,74.600,90.200,0.764
2026-07-29T18:30:00.350000Z,3622,184.080,54.100,72.100,1.018
2026-07-29T18:30:00.400000Z,4667,36.980,40.900,96.900,0.980
2026-07-29T18:30:00.450000Z,6774,172.090,42.000,104.700,0.865
2026-07-29T18:30:00.500000Z,3892,112.640,68.300,93.200,0.912
2026-07-29T18:30:00.550000Z,6153,219.260,11.900,104.700,0.868
2026-07-29T18:30:00.600000Z,1843,190.130,22.300,70.100,0.757
2026-07-29T18:30:00.650000Z,3244,131.860,71.900,84.800,0.864
2026-07-29T18:30:00.700000Z,2681,84.450,34.600,79.600,1.031
2026-07-29T18:30:00.750000Z,6739,198.410,3.200,93.100,0.934
2026-07-29T18:30:00.800000Z,928,82.950,6.700,90.800,0.884
2026-07-29T18:30:00.850000Z,6305,184.720,4.900,95.900,0.871
2026-07-29T18:30:00.900000Z,2719,148.750,75.400,97.200,0.792
2026-07-29T18:30:00.950000Z,3169,81.520,91.600,90.200,0.923
2026-07-29T18:30:01Z,6309,210.040,23.700,100.700,1.046
2026-07-29T18:30:01.050000Z,5070,78.630,30.100,72.100,1.035
2026-07-29T18:30:01.100000Z,6822,230.550,62.600,85.000,0.899
2026-07-29T18:30:01.150000Z,3621,237.150,67.100,97.500,0.846
2026-07-29T18:30:01.200000Z,4210,119.820,30.000,76.400,0.911
2026-07-29T18:30:01.250000Z,2774,216.860,30.100,94.800,0.992
2026-07-29T18:30:01.300000Z,1272,153.720,96.800,89.500,0.790
2026-07-29T18:30:01.350000Z,2789,86.100,33.000,72.800,0.885
2026-07-29T18:30:01.400000Z,3839,50.340,72.500,76.700,0.831
2026-07-29T18:30:01.450000Z,6318,163.090,4.000,72.500,0.991
2026-07-29T18:30:01.500000Z,5613,189.350,55.900,86.800,1.011
2026-07-29T18:30:01.550000Z,3527,96.700,90.900,77.400,0.807
2026-07-29T18:30:01.600000Z,6874,55.810,100.000,86.800,0.823
2026-07-29T18:30:01.650000Z,5751,184.830,39.700,78.400,0.846
2026-07-29T18:30:01.700000Z,3118,113.750,53.400,82.600,0.828
2026-07-29T18:30:01.750000Z,5000,224.220,46.600,98.100,0.967
2026-07-29T18:30:01.800000Z,3423,231.150,37.100,84.500,0.919
2026-07-29T18:30:01.850000Z,2612,193.080,1.600,89.400,0.925
2026-07-29T18:30:01.900000Z,6698,121.870,15.200,81.500,0.864
2026-07-29T18:30:01.950000Z,2813,139.850,65.500,94.000,0.827
2026-07-29T18:30:02Z,4802,242.630,64.200,87.200,0.800
2026-07-29T18:30:02.050000Z,3685,67.240,72.000,87.100,1.025
2026-07-29T18:30:02.100000Z,5241,247.870,95.700,88.300,1.002
2026-07-29T18:30:02.150000Z,1408,237.940,66.800,96.800,0.874
2026-07-29T18:30:02.200000Z,5966,80.920,70.700,70.300,0.902
2026-07-29T18:30:02.250000Z,3857,43.300,63.800,102.700,1.024
2026-07-29T18:30:02.300000Z,6200,137.330,0.700,89.300,0.754
2026-07-29T18:30:02.350000Z,5136,188.880,53.600,80.000,0.901
2026-07-29T18:30:02.400000Z,6516,178.290,80.600,101.800,0.782
2026-07-29T18:30:02.450000Z,1589,145.360,24.100,91.700,0.826
