Tiempo,Velocidad_motor,Presión_colector,Posición_mariposa,Temperatura_refrigerante,Lambda_medido
0.000,3703,88.810,39.700,83.100,0.872
0.050,5428,83.510,69.700,80.500,0.998
0.100,1460,173.820,85.800,96.600,0.778
0.150,3906,112.980,47.600,92.300,0.961
0.200,1477,139.970,43.400,97.500,0.920
0.250,1581,226.850,91.900,78.000,1.020
0.300,6471,225.260,47.600,71.600,0.772
0.350,3096,227.850,56.400,71.200,1.029
0.400,3376,33.440,20.700,75.000,0.996
0.450,4062,234.350,29.900,89.700,0.920
0.500,3987,178.950,54.100,83.400,0.972
0.550,6446,189.320,50.100,104.100,0.766
0.600,4380,81.070,7.600,91.200,0.934
0.650,5679,117.270,77.400,71.000,0.832
0.700,4490,137.930,35.600,102.900,0.880
0.750,6368,158.890,38.000,97.000,0.839
0.800,2818,186.880,8.200,75.400,0.964
0.850,5992,63.940,39.000,82.600,0.777
0.900,3325,127.840,76.100,73.600,0.776
0.950,4330,128.750,55.500,84.300,0.758
1.000,3699,151.930,59.700,97.500,1.009
1.050,901,94.210,38.800,73.000,1.020
1.100,2788,155.830,17.000,83.300,0.792
1.150,3266,89.050,14.600,75.900,0.833
1.200,3255,136.530,7.700,78.800,0.824
1.250,5920,139.080,61.700,86.000,0.791
1.300,855,238.740,33.200,91.700,0.991
1.350,3499,126.850,43.100,98.800,0.945
1.400,5669,59.950,32.100,103.200,0.810
1.450,3373,69.080,39.800,81.200,0.970
1.500,5984,138.020,57.600,78.500,0.863
1.550,4018,110.300,93.200,77.000,1.049
1.600,2273,179.980,55.000,103.400,0.888
1.650,6602,76.120,79.800,99.100,0.771
1.700,4151,178.060,13.900,80.600,0.826
1.750,2062,187.350,78.900,72.600,1.047
1.800,4725,158.090,53.400,102.300,1.011
1.850,4226,149.600,79.100,82.600,1.019
1.900,5198,160.640,91.400,73.800,0.824
1.950,6245,108.100,64.700,71.600,1.045
2.000,6349,172.280,96.700,81.600,0.989
2.050,1667,32.320,25.900,87.900,0.906
2.100,5555,181.290,22.100,83.100,0.889
2.150,6366,159.490,50.000,82.100,0.757
2.200,1656,95.000,92.100,73.000,0.999
2.250,6781,61.170,31.200,85.900,0.812
2.300,4756,106.630,9.800,95.300,0.886
2.350,1350,96.060,81.000,74.000,1.005
2.400,6108,54.060,80.000,102.500,0.972
2.450,5027,68.380,16.000,89.600,1.038
