Time,RPM,MAP,TPS,CLT,Lambda
0.000,4118,71.010,39.600,100.900,0.879
0.050,#N/A,195.510,6.300,100.500,0.848
0.100,2949,137.690,31.300,83.700,0.856
0.150,2213,185.320,61.400,#N/A,0.822
0.200,3858,142.380,13.800,76.500,0.958
0.250,2219,137.720,31.500,71.900,0.753
0.300,3945,141.200,68.500,99.400,0.775
0.350,#N/A,90.470,16.800,96.000,0.915
0.400,1735,149.480,54.200,96.600,0.816
0.450,6829,195.300,99.900,82.200,0.882
0.500,2741,192.270,86.100,85.000,0.985
0.550,1286,147.100,16.800,80.200,1.036
0.600,6364,59.830,41.200,NULL,0.788
0.650,2845,100.860,84.400,75.000,0.938
0.700,1418,223.630,n/a,94.300,0.886
0.750,5567,,---,94.400,0.989
0.800,4319,138.840,28.400,74.600,0.986
0.850,1196,,46.000,100.000,0.750
0.900,2457,230.070,30.200,100.700,NULL
0.950,3846,172.760,,94.500,0.947
1.000,808,47.150,51.900,70.300,0.786
1.050,6485,45.580,73.100,81.000,0.791
1.100,6969,171.150,6.800,91.400,0.855
1.150,6929,120.580,86.000,NaN,0.787
1.200,3679,99.190,27.700,n/a,0.966
1.250,6456,,20.500,76.600,0.944
1.300,2760,54.800,59.400,104.200,1.030
1.350,5456,150.200,47.100,72.600,0.754
1.400,1295,117.550,71.300,84.800,0.942
1.450,2050,98.180,20.300,88.800,0.940
1.500,6379,98.240,95.300,78.600,0.785
1.550,1250,193.170,11.900,94.600,1.036
1.600,6704,111.810,87.300,74.100,0.851
1.650,5091,,62.800,87.900,n/a
1.700,2088,52.640,72.300,87.800,NaN
1.750,4664,232.450,96.000,,0.876
1.800,4209,100.390,57.200,93.600,#N/A
1.850,1176,45.160,28.200,81.500,0.752
1.900,5418,192.710,36.800,104.900,0.970
1.950,2808,235.130,n/a,99.400,1.035
2.000,,192.380,20.500,84.700,1.042
2.050,3092,#N/A,52.000,83.000,0.775
2.100,#N/A,116.760,6.200,74.600,1.005
2.150,4019,191.780,27.200,#N/A,0.981
2.200,1665,132.530,53.600,77.300,0.830
2.250,2091,96.930,60.300,100.000,0.963
2.300,4046,178.980,99.100,---,0.917
2.350,1575,206.860,1.200,104.400,0.997
2.400,5963,48.490,91.700,NaN,0.944
2.450,1553,212.460,4.300,75.900,0.997
