Time,RPM,Marcha,Limitador,CLT,Lambda
0.000,4035,3,true,83.400,0.878
0.050,3699,1,true,79.600,0.884
0.100,2017,N,true,92.700,0.900
0.150,5311,3,true,73.100,0.865
0.200,4234,1,true,92.100,0.991
0.250,959,3,false,86.800,0.984
0.300,3618,2,false,79.500,0.758
0.350,5691,1,true,101.400,0.984
0.400,1279,3,false,96.800,1.050
0.450,2107,N,true,93.000,0.830
0.500,6837,N,true,90.100,1.045
0.550,3981,2,true,76.200,0.928
0.600,6846,2,true,94.600,0.856
0.650,5450,1,true,99.300,0.993
0.700,4832,2,true,87.200,0.777
0.750,2705,1,true,88.400,0.750
0.800,5830,1,true,81.900,0.803
0.850,3450,N,true,75.200,0.961
0.900,1960,N,false,103.600,0.862
0.950,6224,3,true,81.800,0.847
1.000,2090,3,false,92.700,0.802
1.050,5403,2,true,93.300,0.994
1.100,3899,2,false,74.500,0.969
1.150,6550,3,true,76.400,0.845
1.200,5808,1,true,102.800,0.792
1.250,6905,N,true,82.100,0.846
1.300,6011,N,false,85.600,0.830
1.350,2844,N,false,79.000,0.782
1.400,810,N,false,85.300,0.876
1.450,2162,3,false,100.900,0.855
1.500,3874,N,false,97.600,0.923
1.550,6429,1,true,85.800,0.990
1.600,1073,2,true,81.200,1.035
1.650,1407,2,true,101.100,0.798
1.700,1414,N,false,90.800,0.934
1.750,4754,N,false,103.000,0.799
1.800,4356,1,true,73.500,0.812
1.850,2356,3,false,93.100,0.839
1.900,1585,N,false,90.000,1.002
1.950,2058,N,false,70.100,0.776
2.000,6223,3,true,73.400,0.812
2.050,6028,2,true,86.600,0.785
2.100,4056,3,false,101.300,0.830
2.150,6058,3,true,83.000,0.864
2.200,2328,3,true,79.200,0.890
2.250,2653,2,true,75.300,0.959
2.300,1592,N,false,98.300,0.874
2.350,6996,1,true,99.400,0.996
2.400,4229,3,true,86.700,0.774
2.450,6651,N,true,74.200,0.977
