Time,RPM,RPM,MAP,TPS,CLT
0.000,2216,2169,243.880,80.800,74.400
0.050,4268,1441,247.420,43.500,104.900
0.100,5938,2011,213.500,25.800,101.900
0.150,1348,1512,115.380,39.700,81.400
0.200,3062,5057,130.790,87.300,97.500
0.250,5904,5613,144.960,42.000,84.500
0.300,2014,5441,159.350,75.800,102.900
0.350,1665,5409,201.500,78.600,100.400
0.400,3616,4166,88.110,65.500,90.000
0.450,4675,1106,67.880,40.300,91.600
0.500,6377,6482,118.380,39.600,100.800
0.550,6456,2746,40.840,47.500,79.400
0.600,3851,965,104.330,79.400,80.900
0.650,4827,6503,180.670,97.200,78.000
0.700,3261,6892,127.480,82.600,79.400
0.750,4214,5755,172.020,18.800,77.400
0.800,4135,6869,136.580,51.700,83.100
0.850,1260,5021,204.130,6.600,94.800
0.900,4104,1911,201.710,52.400,89.900
0.950,2223,2379,222.540,20.100,72.000
1.000,1070,4539,41.120,36.000,77.000
1.050,3817,4602,141.130,63.500,74.300
1.100,1050,2781,111.940,59.400,76.200
1.150,4687,5607,151.290,34.400,99.300
1.200,2918,6935,212.790,9.000,71.000
1.250,1206,2134,217.840,78.000,77.500
1.300,2613,6103,79.520,20.700,92.800
1.350,5004,964,220.220,96.700,93.900
1.400,4683,1883,172.420,60.100,70.300
1.450,2867,5783,207.120,30.500,103.800
1.500,6065,3055,123.240,37.600,82.200
1.550,2864,2587,132.670,67.700,98.900
1.600,4053,5588,52.510,51.200,93.200
1.650,3865,5399,172.420,60.900,80.400
1.700,1685,4746,44.040,98.800,92.400
1.750,3068,2939,174.350,95.200,92.800
1.800,2343,2028,143.800,24.000,72.000
1.850,5715,4110,175.320,68.100,95.200
1.900,6169,4874,249.440,25.900,84.600
1.950,3980,6835,37.770,70.800,90.000
2.000,2355,3611,189.840,22.200,88.700
2.050,4697,6303,108.870,30.000,75.900
2.100,6187,5373,69.850,9.800,74.500
2.150,2918,6740,207.840,76.300,76.400
2.200,6368,3549,173.980,22.200,77.800
2.250,3315,4244,203.380,33.100,79.100
2.300,3208,4599,217.270,47.100,100.300
2.350,5580,5553,237.750,7.100,101.100
2.400,4899,1781,220.850,38.200,80.400
2.450,1242,2035,60.220,20.000,84.300
