vehicle: Track car - GT
engine: 2000cc turbo
date: 2026-07-29
driver: John Doe
track: Spa Francorchamps
session: Qualifying 1
temperature: 22.5C
weather: Cloudy
fuel: 98 RON
boost: 1.6 bar
downforce: low
notes: Practice session with setup changes
Time,RPM,MAP,TPS,CLT,Lambda
0.000,5464,226.430,98.700,75.000,1.009
0.050,2277,201.370,48.800,92.100,0.803
0.100,5997,42.760,45.200,77.300,0.982
0.150,5520,198.190,49.000,96.700,0.776
0.200,5833,125.420,42.900,85.000,0.893
0.250,838,38.300,19.900,83.100,0.754
0.300,3439,196.510,53.100,70.600,0.751
0.350,6809,84.740,69.400,82.100,0.789
0.400,3942,140.730,30.600,72.300,0.764
0.450,3182,130.300,52.000,88.300,0.880
0.500,6426,249.000,34.300,101.500,0.858
0.550,2343,66.270,90.700,98.400,0.756
0.600,2637,189.980,13.100,95.700,0.927
0.650,2184,57.100,71.100,97.700,0.863
0.700,6045,86.270,53.500,71.700,1.048
0.750,6222,53.780,83.600,71.700,0.785
0.800,4439,113.660,54.700,86.600,0.796
0.850,6495,180.860,0.900,84.700,0.780
0.900,5062,89.390,60.600,74.800,0.999
0.950,1659,142.550,61.800,79.900,0.985
1.000,4877,73.700,20.000,79.200,0.907
1.050,2452,108.740,41.000,75.600,0.914
1.100,2501,181.400,48.100,78.200,0.754
1.150,1529,229.510,83.500,93.400,0.795
1.200,1537,201.500,7.500,95.300,1.021
1.250,6078,80.860,98.900,80.400,0.889
1.300,1617,208.900,87.400,99.800,0.858
1.350,6344,98.800,73.900,73.300,0.977
1.400,1175,32.130,13.800,92.700,0.849
1.450,4385,240.120,26.800,95.700,0.862
1.500,3607,70.230,40.100,103.700,0.832
1.550,3959,181.780,47.800,84.800,1.016
1.600,2166,54.870,69.600,72.100,1.033
1.650,2105,52.820,91.100,86.900,0.921
1.700,4389,69.880,38.000,82.600,0.759
1.750,6407,223.590,72.700,101.200,0.895
1.800,4798,54.850,41.100,71.600,0.828
1.850,3374,32.720,86.800,88.400,0.973
1.900,6729,154.300,97.800,93.400,0.851
1.950,5085,181.410,61.800,85.100,0.968
2.000,4747,106.060,67.600,83.500,1.002
2.050,5373,226.250,61.300,70.400,1.030
2.100,4941,216.750,85.200,100.400,0.772
2.150,4827,100.540,33.100,79.700,0.902
2.200,5309,171.530,40.300,78.200,0.888
2.250,5494,128.580,85.700,85.600,0.786
2.300,4874,193.950,1.800,84.100,0.761
2.350,5298,30.040,9.100,91.100,0.936
2.400,3295,225.820,56.200,92.900,0.887
2.450,3592,109.940,5.400,77.800,0.886
