Time,RPM,MAP,TPS,CLT,Lambda
0.000,5388,198.830,60.000,95.100,0.859
0.050,4507,55.090,75.900,77.800,0.852
0.100,5990,242.180,29.200,88.300,0.961
0.150,1175,227.310,49.200,98.800,0.973
0.200,4152,53.530,61.100,76.600,1.029
0.250,4018,77.430,82.500,76.700,0.851
0.300,4195,40.230,63.300,93.500,0.787
0.350,4490,130.630,58.900,87.600,1.039
0.400,835,146.680,4.900,102.700,1.002
0.450,4756,233.360,78.100,101.900,0.958
0.500,2222,190.710,12.800,83.600,0.930
0.550,3436,140.900,38.500,104.300,1.025
0.600,2833,90.190,96.400,104.000,0.886
0.650,1892,60.400,60.300,101.000,0.904
0.700,6546,150.520,31.400,95.800,0.916
0.750,2580,74.200,62.400,80.200,0.854
0.800,6308,59.190,71.000,104.100,0.803
0.850,5244,182.750,32.200,74.000,0.856
0.900,4735,158.220,94.300,94.900,0.952
0.950,5173,92.900,84.700,98.300,0.907
1.000,1007,113.790,5.300,72.000,0.830
1.050,2118,246.380,68.300,75.100,0.769
1.100,3217,74.880,54.100,82.600,0.886
1.150,5847,220.970,73.900,100.300,0.973
1.200,5397,115.560,51.100,97.900,0.959
1.250,6476,176.190,92.600,83.600,1.037
1.300,6412,98.780,55.200,70.500,0.825
1.350,5883,221.150,86.000,85.500,0.818
1.400,5991,185.020,64.800,96.400,0.914
1.450,5742,73.220,72.500,76.800,0.885
1.500,6392,46.380,96.200,95.700,0.786
1.550,1132,124.270,55.700,74.600,0.925
1.600,2889,31.240,46.600,102.800,0.762
1.650,3442,161.310,77.400,91.900,1.003
1.700,3267,137.920,57.300,82.500,0.985
1.750,3403,145.590,95.700,88.200,0.986
1.800,2105,121.500,53.700,73.200,0.816
1.850,2547,175.930,33.100,80.300,1.035
1.900,5864,146.710,99.700,98.800,1.044
1.950,872,55.240,34.600,78.400,0.943
2.000,5888,83.640,4.000,101.000,0.864
2.050,1728,114.890,54.000,79.900,1.023
2.100,3871,143.150,50.900,87.000,0.839
2.150,6137,72.350,51.400,103.200,0.800
2.200,5207,147.310,62.700,77.400,0.939
2.250,2546,220.290,42.400
2.300,6556,223.300,74.100,85.200,0.995
2.350,1390,194.320,15.400,86.100,0.850
2.400,1516,46.110,17.800,78.800,0.771,4.110
2.450,2918,119.680,45.100,84.200,0.845
