Tiempo;RPM;Presion_Aceite;Distancia_Total
0,000;850;3,2 bar;1.234,5
0,050;1200;3,3 bar;1.234,6
0,100;1500;3,4 bar;1.234,8
0,150;1850;3,5 bar;1.235,1
0,200;2200;NULL;1.235,4
0,250;2600;3,6 bar;1.235,9
0,300;3100;3,7 bar;1.236,5
0,350;3500;;1.237,0
0,400;3900;3,8 bar;1.237,6
0,450;4200;3,9 bar;1.238,3
0,500;4500;4,0 bar;1.239,1
0,550;4800;4,1 bar;1.240,0
0,600;5100;4,0 bar;1.240,9
0,650;5400;3,9 bar;1.241,8
0,700;5700;3,8 bar;1.242,7
0,750;6000;3,7 bar;1.243,6
0,800;6300;3,6 bar;1.244,5
0,850;6600;#N/A;1.245,4
0,900;6900;3,5 bar;1.246,3
0,950;7000;3,4 bar;1.247,2
